iter	Passed	Remaining
0	676	676313
1	679	338866
2	681	226590
3	684	170406
4	686	136535
5	690	114343
6	692	98214
7	694	86088
8	697	76797
9	699	69227
10	704	63350
11	706	58162
12	709	53844
13	711	50077
14	715	46989
15	717	44145
16	721	41698
17	723	39475
18	726	37509
19	737	36140
20	740	34539
21	745	33158
22	748	31788
23	750	30523
24	755	29448
25	757	28369
26	759	27380
27	769	26697
28	770	25812
29	774	25026
30	778	24319
31	780	23611
32	782	22934
33	785	22318
34	789	21760
35	791	21205
36	798	20785
37	801	20300
38	803	19805
39	806	19351
40	809	18940
41	812	18526
42	814	18132
43	817	17754
44	820	17419
45	823	17084
46	832	16885
47	836	16594
48	839	16292
49	842	16000
50	845	15730
51	847	15457
52	853	15243
53	862	15115
54	865	14863
55	867	14630
56	870	14405
57	875	14220
58	879	14028
59	881	13811
60	883	13605
61	889	13460
62	894	13303
63	896	13109
64	900	12958
65	903	12792
66	906	12627
67	907	12443
68	911	12301
69	916	12178
70	918	12018
71	921	11872
72	926	11761
73	930	11648
74	933	11517
75	945	11496
76	954	11436
77	957	11312
78	960	11192
79	968	11142
80	986	11195
81	993	11127
82	996	11010
83	1011	11025
84	1019	10969
85	1021	10861
86	1030	10810
87	1032	10702
88	1035	10598
89	1043	10551
90	1076	10754
91	1084	10702
92	1087	10601
93	1091	10522
94	1094	10423
95	1098	10346
96	1102	10262
97	1105	10174
98	1108	10086
99	1128	10155
100	1132	10080
101	1136	10003
102	1139	9926
103	1149	9905
104	1158	9874
105	1161	9792
106	1163	9711
107	1169	9657
108	1174	9597
109	1180	9553
110	1185	9497
111	1194	9472
112	1205	9464
113	1214	9441
114	1217	9368
115	1227	9353
116	1230	9284
117	1236	9240
118	1239	9172
119	1246	9142
120	1252	9095
121	1256	9042
122	1257	8967
123	1259	8899
124	1266	8866
125	1269	8803
126	1276	8775
127	1278	8708
128	1280	8645
129	1283	8586
130	1288	8545
131	1291	8489
132	1293	8431
133	1297	8387
134	1302	8343
135	1304	8288
136	1309	8245
137	1312	8196
138	1314	8140
139	1317	8094
140	1321	8051
141	1324	8001
142	1328	7963
143	1331	7916
144	1334	7870
145	1336	7819
146	1340	7777
147	1342	7730
148	1348	7700
149	1352	7663
150	1357	7633
151	1360	7589
152	1363	7547
153	1367	7511
154	1370	7472
155	1373	7429
156	1381	7418
157	1384	7375
158	1385	7330
159	1389	7293
160	1391	7250
161	1393	7207
162	1396	7168
163	1400	7139
164	1404	7106
165	1406	7066
166	1410	7037
167	1416	7012
168	1419	6982
169	1422	6945
170	1425	6910
171	1429	6880
172	1438	6877
173	1441	6842
174	1444	6807
175	1447	6776
176	1475	6859
177	1477	6824
178	1480	6789
179	1482	6755
180	1498	6780
181	1500	6744
182	1503	6710
183	1505	6678
184	1508	6644
185	1552	6793
186	1554	6758
187	1576	6809
188	1579	6779
189	1582	6745
190	1584	6711
191	1587	6679
192	1605	6712
193	1609	6685
194	1611	6652
195	1614	6624
196	1618	6598
197	1620	6564
198	1623	6533
199	1629	6518
200	1633	6491
201	1635	6461
202	1640	6438
203	1642	6410
204	1645	6381
205	1647	6349
206	1653	6333
207	1657	6311
208	1659	6280
209	1663	6259
210	1667	6234
211	1669	6206
212	1671	6175
213	1675	6155
214	1678	6129
215	1680	6100
216	1682	6071
217	1684	6042
218	1687	6019
219	1690	5992
220	1692	5964
221	1694	5937
222	1698	5916
223	1701	5894
224	1703	5868
225	1705	5842
226	1709	5821
227	1711	5795
228	1714	5771
229	1722	5766
230	1724	5742
231	1726	5716
232	1731	5701
233	1735	5680
234	1738	5658
235	1740	5633
236	1744	5617
237	1748	5598
238	1750	5574
239	1753	5553
240	1756	5532
241	1759	5511
242	1762	5490
243	1768	5480
244	1772	5463
245	1775	5441
246	1778	5423
247	1783	5407
248	1785	5384
249	1787	5361
250	1793	5351
251	1797	5334
252	1799	5312
253	1801	5290
254	1805	5274
255	1812	5266
256	1824	5273
257	1826	5253
258	1831	5239
259	1834	5222
260	1837	5201
261	1839	5180
262	1843	5164
263	1847	5150
264	1849	5128
265	1851	5110
266	1855	5093
267	1858	5075
268	1860	5056
269	1862	5035
270	1864	5014
271	1868	5001
272	1870	4981
273	1872	4961
274	1876	4946
275	1879	4929
276	1881	4910
277	1883	4891
278	1887	4877
279	1890	4861
280	1892	4843
281	1895	4825
282	1899	4811
283	1901	4795
284	1903	4776
285	1905	4757
286	1908	4742
287	1912	4727
288	1914	4709
289	1916	4691
290	1918	4674
291	1923	4664
292	1926	4649
293	1928	4631
294	1931	4616
295	1936	4605
296	1940	4592
297	1942	4575
298	1948	4567
299	1951	4552
300	1953	4535
301	1956	4521
302	1960	4509
303	1963	4495
304	1966	4481
305	1969	4466
306	1972	4451
307	1974	4435
308	1977	4421
309	1979	4405
310	1983	4393
311	1986	4381
312	1988	4364
313	1990	4349
314	1994	4336
315	1996	4321
316	1998	4306
317	2001	4291
318	2004	4279
319	2008	4268
320	2010	4252
321	2012	4238
322	2017	4229
323	2022	4218
324	2024	4204
325	2026	4189
326	2030	4179
327	2032	4165
328	2035	4150
329	2041	4144
330	2043	4130
331	2046	4116
332	2049	4104
333	2053	4094
334	2055	4079
335	2057	4066
336	2059	4051
337	2063	4040
338	2065	4026
339	2067	4013
340	2069	3999
341	2072	3987
342	2074	3973
343	2076	3959
344	2079	3947
345	2083	3938
346	2085	3924
347	2087	3910
348	2089	3898
349	2096	3893
350	2098	3880
351	2100	3866
352	2103	3854
353	2107	3845
354	2109	3832
355	2111	3819
356	2115	3809
357	2119	3800
358	2121	3787
359	2123	3775
360	2129	3769
361	2132	3758
362	2134	3746
363	2137	3734
364	2140	3724
365	2142	3711
366	2144	3699
367	2147	3687
368	2153	3682
369	2156	3671
370	2158	3658
371	2160	3646
372	2164	3638
373	2166	3626
374	2169	3615
375	2171	3603
376	2175	3595
377	2177	3583
378	2181	3574
379	2186	3567
380	2189	3556
381	2191	3545
382	2194	3536
383	2197	3524
384	2198	3512
385	2201	3501
386	2204	3492
387	2207	3481
388	2211	3473
389	2216	3467
390	2219	3456
391	2222	3446
392	2224	3435
393	2227	3426
394	2230	3416
395	2232	3405
396	2235	3395
397	2238	3386
398	2242	3377
399	2244	3366
400	2249	3360
401	2252	3350
402	2254	3340
403	2257	3330
404	2261	3322
405	2266	3316
406	2268	3305
407	2274	3299
408	2278	3292
409	2280	3281
410	2284	3273
411	2287	3264
412	2290	3255
413	2294	3248
414	2298	3239
415	2300	3229
416	2304	3221
417	2307	3212
418	2309	3202
419	2317	3199
420	2319	3190
421	2322	3180
422	2324	3170
423	2326	3161
424	2329	3151
425	2331	3141
426	2339	3139
427	2342	3130
428	2344	3120
429	2347	3112
430	2350	3102
431	2352	3092
432	2354	3083
433	2361	3080
434	2365	3072
435	2367	3063
436	2371	3055
437	2376	3048
438	2379	3040
439	2381	3030
440	2383	3021
441	2386	3012
442	2388	3003
443	2390	2993
444	2393	2985
445	2396	2976
446	2398	2967
447	2401	2959
448	2404	2950
449	2406	2940
450	2408	2931
451	2410	2922
452	2412	2912
453	2414	2903
454	2416	2894
455	2419	2886
456	2423	2879
457	2428	2873
458	2431	2865
459	2434	2857
460	2438	2850
461	2440	2841
462	2442	2832
463	2444	2823
464	2446	2814
465	2448	2805
466	2450	2796
467	2452	2787
468	2455	2779
469	2457	2771
470	2461	2764
471	2464	2757
472	2468	2750
473	2472	2743
474	2474	2735
475	2477	2727
476	2479	2719
477	2482	2711
478	2484	2702
479	2487	2694
480	2489	2686
481	2493	2679
482	2495	2671
483	2497	2663
484	2500	2655
485	2502	2647
486	2513	2647
487	2515	2639
488	2519	2632
489	2521	2624
490	2525	2617
491	2528	2611
492	2531	2603
493	2534	2595
494	2536	2587
495	2538	2579
496	2540	2571
497	2542	2562
498	2544	2554
499	2546	2546
500	2549	2539
501	2551	2531
502	2554	2523
503	2557	2517
504	2561	2511
505	2564	2503
506	2567	2496
507	2571	2490
508	2574	2483
509	2586	2484
510	2588	2477
511	2591	2469
512	2598	2466
513	2601	2459
514	2603	2451
515	2605	2443
516	2609	2437
517	2618	2436
518	2621	2429
519	2626	2424
520	2628	2416
521	2631	2409
522	2635	2403
523	2638	2396
524	2640	2388
525	2642	2381
526	2646	2375
527	2653	2371
528	2655	2364
529	2658	2357
530	2661	2350
531	2665	2344
532	2668	2337
533	2673	2333
534	2678	2327
535	2680	2320
536	2684	2314
537	2687	2307
538	2690	2301
539	2698	2298
540	2702	2293
541	2705	2286
542	2709	2279
543	2712	2273
544	2714	2266
545	2717	2259
546	2720	2252
547	2722	2245
548	2726	2240
549	2728	2232
550	2730	2225
551	2737	2221
552	2741	2215
553	2743	2208
554	2749	2204
555	2753	2199
556	2756	2192
557	2758	2184
558	2762	2179
559	2766	2173
560	2768	2166
561	2777	2164
562	2779	2157
563	2784	2152
564	2786	2145
565	2790	2139
566	2794	2133
567	2796	2127
568	2799	2120
569	2802	2113
570	2806	2108
571	2810	2103
572	2813	2096
573	2817	2090
574	2821	2085
575	2824	2078
576	2826	2071
577	2831	2067
578	2834	2060
579	2837	2055
580	2844	2051
581	2847	2044
582	2852	2040
583	2854	2033
584	2858	2027
585	2865	2024
586	2868	2018
587	2872	2012
588	2874	2005
589	2876	1998
590	2880	1993
591	2885	1988
592	2888	1982
593	2890	1975
594	2897	1972
595	2900	1966
596	2903	1960
597	2908	1955
598	2911	1949
599	2914	1943
600	2918	1937
601	2920	1930
602	2922	1924
603	2930	1921
604	2934	1915
605	2936	1909
606	2943	1905
607	2945	1899
608	2948	1892
609	2950	1886
610	2956	1882
611	2960	1877
612	2962	1870
613	2964	1863
614	2967	1857
615	2969	1851
616	2971	1844
617	2977	1840
618	2980	1834
619	2982	1828
620	2991	1825
621	2995	1820
622	3000	1815
623	3004	1810
624	3006	1804
625	3009	1797
626	3041	1809
627	3044	1803
628	3071	1811
629	3073	1804
630	3078	1800
631	3081	1794
632	3086	1789
633	3089	1783
634	3092	1777
635	3135	1794
636	3173	1808
637	3177	1802
638	3179	1796
639	3183	1790
640	3186	1784
641	3188	1778
642	3190	1771
643	3193	1765
644	3200	1761
645	3203	1755
646	3207	1749
647	3209	1743
648	3212	1737
649	3221	1734
650	3225	1728
651	3227	1722
652	3231	1716
653	3234	1711
654	3238	1705
655	3240	1699
656	3242	1692
657	3246	1687
658	3248	1681
659	3250	1674
660	3253	1668
661	3255	1662
662	3258	1656
663	3261	1650
664	3263	1644
665	3267	1638
666	3270	1632
667	3273	1626
668	3275	1620
669	3279	1615
670	3282	1609
671	3284	1603
672	3291	1599
673	3293	1593
674	3296	1587
675	3301	1582
676	3304	1576
677	3307	1570
678	3311	1565
679	3313	1559
680	3317	1554
681	3321	1548
682	3324	1543
683	3328	1537
684	3330	1531
685	3335	1526
686	3338	1520
687	3342	1515
688	3344	1509
689	3348	1504
